2025-01-01T02:02:49.723861  17198	18.938	18.952	22.806	22.967	18.293	27.158	23.853	23.289	21.436	31.267	50.206	50.242	23.084	2692.819	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:50.923875  17199	18.777	18.934	22.967	22.967	17.971	27.480	23.934	23.612	21.516	30.864	50.193	50.161	23.326	2737.373	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:52.123983  17200	19.018	18.943	23.048	22.967	18.212	27.560	24.015	23.451	21.597	31.026	50.190	50.242	23.165	2716.214	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:53.324019  17201	18.857	18.934	23.128	23.128	18.132	27.319	23.853	23.853	21.839	31.026	50.203	50.242	23.084	2738.368	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:54.524027  17202	18.857	18.926	23.048	23.289	18.132	27.319	24.095	23.531	21.678	31.026	50.199	50.161	23.326	2758.087	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:55.724079  17203	18.938	18.927	22.725	22.806	18.212	27.399	24.095	23.612	21.516	31.187	50.195	50.081	23.165	2755.572	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:56.924085  17204	19.018	18.937	23.048	22.886	18.212	27.319	24.176	23.692	21.516	31.187	50.192	50.081	23.326	2733.145	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:58.124190  17205	18.938	18.937	23.048	23.048	18.132	27.399	24.015	23.773	21.597	30.784	50.197	50.323	23.246	2733.477	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:59.324174  17206	19.018	18.945	22.967	23.048	18.051	26.996	23.934	23.773	21.516	31.106	50.202	50.081	23.165	2713.294	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:03:00.524428  17207	18.938	18.944	22.967	22.967	18.051	27.319	24.015	23.692	21.678	30.784	50.206	50.161	23.165	2715.641	0	0	0	0.00	-135.000	-135.000	225.000	36.527
