Delta_T: -823 min, Count: 519, Mean PWV Diff (%): 26.72, Std Dev: 34.15
Delta_T: -818 min, Count: 519, Mean PWV Diff (%): 26.62, Std Dev: 34.11
Delta_T: -813 min, Count: 519, Mean PWV Diff (%): 26.58, Std Dev: 34.05
Delta_T: -808 min, Count: 519, Mean PWV Diff (%): 26.47, Std Dev: 33.93
Delta_T: -803 min, Count: 519, Mean PWV Diff (%): 26.51, Std Dev: 33.85
Delta_T: -798 min, Count: 519, Mean PWV Diff (%): 26.45, Std Dev: 33.78
Delta_T: -793 min, Count: 519, Mean PWV Diff (%): 26.37, Std Dev: 33.70
Delta_T: -788 min, Count: 519, Mean PWV Diff (%): 26.12, Std Dev: 33.57
Delta_T: -778 min, Count: 261, Mean PWV Diff (%): 30.71, Std Dev: 35.10
Delta_T: -773 min, Count: 261, Mean PWV Diff (%): 30.75, Std Dev: 35.11
Delta_T: -768 min, Count: 261, Mean PWV Diff (%): 30.72, Std Dev: 35.00
Delta_T: -763 min, Count: 261, Mean PWV Diff (%): 30.69, Std Dev: 34.94
Delta_T: -758 min, Count: 261, Mean PWV Diff (%): 30.51, Std Dev: 34.95
Delta_T: -753 min, Count: 261, Mean PWV Diff (%): 30.52, Std Dev: 35.04
Delta_T: -748 min, Count: 261, Mean PWV Diff (%): 30.56, Std Dev: 34.97
Delta_T: -743 min, Count: 261, Mean PWV Diff (%): 30.42, Std Dev: 34.86
Delta_T: -738 min, Count: 261, Mean PWV Diff (%): 30.47, Std Dev: 34.71
Delta_T: -733 min, Count: 261, Mean PWV Diff (%): 30.26, Std Dev: 34.51
Delta_T: -728 min, Count: 261, Mean PWV Diff (%): 30.07, Std Dev: 34.39
Delta_T: -658 min, Count: 521, Mean PWV Diff (%): 26.03, Std Dev: 31.96
Delta_T: -653 min, Count: 521, Mean PWV Diff (%): 26.14, Std Dev: 32.08
Delta_T: -648 min, Count: 521, Mean PWV Diff (%): 26.26, Std Dev: 32.01
