Delta_T: -258 min, Count: 499, Mean PWV Diff (%): 23.49, Std Dev: 12.04
Delta_T: -253 min, Count: 501, Mean PWV Diff (%): 23.73, Std Dev: 12.29
Delta_T: -248 min, Count: 500, Mean PWV Diff (%): 23.15, Std Dev: 12.13
Delta_T: -178 min, Count: 504, Mean PWV Diff (%): 24.04, Std Dev: 9.40
Delta_T: -173 min, Count: 500, Mean PWV Diff (%): 24.57, Std Dev: 8.39
Delta_T: -168 min, Count: 501, Mean PWV Diff (%): 24.27, Std Dev: 8.45
Delta_T: -163 min, Count: 502, Mean PWV Diff (%): 24.55, Std Dev: 8.30
Delta_T: -158 min, Count: 504, Mean PWV Diff (%): 24.54, Std Dev: 8.05
Delta_T: -153 min, Count: 500, Mean PWV Diff (%): 24.59, Std Dev: 8.03
Delta_T: -148 min, Count: 497, Mean PWV Diff (%): 24.72, Std Dev: 7.25
Delta_T: -143 min, Count: 501, Mean PWV Diff (%): 24.65, Std Dev: 7.58
Delta_T: -138 min, Count: 498, Mean PWV Diff (%): 24.94, Std Dev: 7.15
Delta_T: -133 min, Count: 501, Mean PWV Diff (%): 24.87, Std Dev: 7.62
Delta_T: -128 min, Count: 499, Mean PWV Diff (%): 24.76, Std Dev: 7.28
Delta_T: -118 min, Count: 499, Mean PWV Diff (%): 24.68, Std Dev: 7.77
Delta_T: -113 min, Count: 498, Mean PWV Diff (%): 24.91, Std Dev: 7.79
Delta_T: -108 min, Count: 498, Mean PWV Diff (%): 24.85, Std Dev: 7.75
Delta_T: -103 min, Count: 500, Mean PWV Diff (%): 24.75, Std Dev: 8.18
Delta_T: -98 min, Count: 502, Mean PWV Diff (%): 24.84, Std Dev: 8.64
Delta_T: -93 min, Count: 499, Mean PWV Diff (%): 24.70, Std Dev: 8.49
Delta_T: -88 min, Count: 503, Mean PWV Diff (%): 24.66, Std Dev: 8.75
Delta_T: -83 min, Count: 495, Mean PWV Diff (%): 24.96, Std Dev: 8.59
Delta_T: -78 min, Count: 498, Mean PWV Diff (%): 24.30, Std Dev: 9.48
Delta_T: -73 min, Count: 504, Mean PWV Diff (%): 24.08, Std Dev: 10.31
Delta_T: -68 min, Count: 499, Mean PWV Diff (%): 24.20, Std Dev: 9.94
Delta_T: -58 min, Count: 265, Mean PWV Diff (%): 23.85, Std Dev: 9.65
Delta_T: -53 min, Count: 267, Mean PWV Diff (%): 24.05, Std Dev: 9.71
