TIME,take TIME (seconds)
unzip 20240709.tar.gz,0.6697
delete_unneeded_files,0.2079
unzip 20240928.tar.gz,0.6669
delete_unneeded_files,0.2076
unzip 20241119.tar.gz,0.6708
delete_unneeded_files,0.2074
unzip 20240210.tar.gz,0.6752
delete_unneeded_files,0.2087
unzip 20240910.tar.gz,0.6708
delete_unneeded_files,0.2079
unzip 20241103.tar.gz,0.6725
delete_unneeded_files,0.2085
unzip 20241002.tar.gz,0.6707
delete_unneeded_files,0.2083
unzip 20241006.tar.gz,0.6704
delete_unneeded_files,0.2078
unzip 20241124.tar.gz,0.6722
delete_unneeded_files,0.2081
unzip 20240328.tar.gz,0.6726
delete_unneeded_files,0.2084
unzip 20241109.tar.gz,0.0035
delete_unneeded_files,0.1665
unzip 20240708.tar.gz,0.6713
delete_unneeded_files,0.2096
unzip 20241004.tar.gz,0.6718
delete_unneeded_files,0.2090
unzip 20241116.tar.gz,0.6729
delete_unneeded_files,0.2089
unzip 20240131.tar.gz,0.6739
delete_unneeded_files,0.2075
unzip 20241228.tar.gz,0.6761
delete_unneeded_files,0.2088
unzip 20241113.tar.gz,0.6729
delete_unneeded_files,0.2089
unzip 20241208.tar.gz,0.6717
delete_unneeded_files,0.2090
unzip 20240204.tar.gz,0.6751
delete_unneeded_files,0.2080
unzip 20240313.tar.gz,0.6755
delete_unneeded_files,0.2092
unzip 20241218.tar.gz,0.6735
delete_unneeded_files,0.2079
unzip 20240402.tar.gz,0.6730
delete_unneeded_files,0.2090
unzip 20240921.tar.gz,0.6707
delete_unneeded_files,0.2086
unzip 20241022.tar.gz,0.6731
delete_unneeded_files,0.2082
unzip 20240814.tar.gz,0.6695
delete_unneeded_files,0.2084
unzip 20240827.tar.gz,0.6721
delete_unneeded_files,0.2082
unzip 20240809.tar.gz,0.6737
delete_unneeded_files,0.2086
unzip 20240316.tar.gz,0.6725
delete_unneeded_files,0.2088
unzip 20240103.tar.gz,0.6744
delete_unneeded_files,0.2087
unzip 20240717.tar.gz,0.6713
delete_unneeded_files,0.2080
unzip 20240513.tar.gz,0.6740
delete_unneeded_files,0.2076
unzip 20240506.tar.gz,0.6731
delete_unneeded_files,0.2079
unzip 20240116.tar.gz,0.6731
delete_unneeded_files,0.2076
unzip 20241229.tar.gz,0.6729
delete_unneeded_files,0.2079
unzip 20240411.tar.gz,0.6726
delete_unneeded_files,0.2078
unzip 20241210.tar.gz,0.6719
delete_unneeded_files,0.2080
unzip 20250116.tar.gz,0.6756
delete_unneeded_files,0.2080
unzip 20241129.tar.gz,0.6719
delete_unneeded_files,0.2082
unzip 20240119.tar.gz,0.6755
delete_unneeded_files,0.2083
unzip 20240308.tar.gz,0.6742
delete_unneeded_files,0.2076
unzip 20240828.tar.gz,0.6711
delete_unneeded_files,0.2081
unzip 20240626.tar.gz,0.6706
delete_unneeded_files,0.2070
unzip 20240603.tar.gz,0.6747
delete_unneeded_files,0.2072
unzip 20250113.tar.gz,0.6773
delete_unneeded_files,0.2083
unzip 20240331.tar.gz,0.6739
delete_unneeded_files,0.2084
unzip 20240319.tar.gz,0.6729
delete_unneeded_files,0.2082
unzip 20250109.tar.gz,0.6759
delete_unneeded_files,0.2087
unzip 20240707.tar.gz,0.6712
delete_unneeded_files,0.2079
unzip 20240606.tar.gz,0.6702
delete_unneeded_files,0.2078
unzip 20250106.tar.gz,0.6749
delete_unneeded_files,0.2085
unzip 20240227.tar.gz,0.6756
delete_unneeded_files,0.2083
unzip 20240130.tar.gz,0.6756
delete_unneeded_files,0.2082
unzip 20241005.tar.gz,0.6708
delete_unneeded_files,0.2084
unzip 20240905.tar.gz,0.6728
delete_unneeded_files,0.2093
unzip 20241221.tar.gz,0.6741
delete_unneeded_files,0.2086
unzip 20240803.tar.gz,0.6710
delete_unneeded_files,0.2087
