Time Start,Time End,Time Avg,Time Leap,Data Point,T0 Max,T0 Min,T0 Avg,T0 Std,T1 Max,T1 Min,T1 Avg,T1 Std,T2 Max,T2 Min,T2 Avg,T2 Std,T3 Max,T3 Min,T3 Avg,T3 Std
2025-01-02 01:01:36.356480,2025-01-02 01:06:36.991658,2025-01-02 01:04:07.228486,0:05:00.635178,314,164.162139893,159.463226318,161.81425417759235,1.2229493280598278,93.8510894775,90.3272705078,92.08001696835892,0.9224137188135636,51.3995056152,48.9306411743,50.15349261776178,0.6005033694086723,38.2772750854,35.5379333496,36.98231330190956,0.6913913200600971
2025-01-02 01:06:37.947614,2025-01-02 01:11:38.434315,2025-01-02 01:09:08.670221,0:05:00.486701,314,162.830764771,158.438049316,160.63025009252232,1.1959493956830347,93.0235443115,89.3429107666,91.24423514202132,0.9359724195685137,51.0471382141,48.3830070496,49.705025739731845,0.5916102329937476,38.2179336548,35.0272445679,36.77506666729904,0.672362680057845
2025-01-02 01:11:39.390387,2025-01-02 01:16:39.878774,2025-01-02 01:14:10.115949,0:05:00.488387,314,161.358474731,156.731231689,159.24235568686942,1.1591320103340474,91.884803772,88.2396469116,90.12182592890191,0.8758835524333524,50.4544868469,47.8906364441,49.19110294512197,0.5828706688395165,37.5711135864,34.9380989075,36.296384386198724,0.6020176135374652
2025-01-02 01:16:40.839036,2025-01-02 01:21:41.322274,2025-01-02 01:19:11.560244,0:05:00.483238,314,159.95135498,155.11895752,157.53794909435348,1.2596453263133964,90.7285919189,86.9107131958,88.87987421120764,0.9649183607138446,49.7139892578,47.0931396484,48.47608554135478,0.6209383025315095,37.2017402649,34.4136428833,35.91151204686178,0.6483334546637566
2025-01-02 01:21:42.281606,2025-01-02 01:26:42.766810,2025-01-02 01:24:13.004655,0:05:00.485204,314,158.004379272,154.588989258,156.2899407064618,0.8593428358138145,89.2928619385,86.6374053955,87.93062477354809,0.6439537771328123,49.0587844849,46.9588317871,47.96580168851847,0.4771590054090447,36.7448043823,34.1876106262,35.4989365255793,0.5905874942169161
2025-01-02 01:26:43.726440,2025-01-02 01:31:44.207692,2025-01-02 01:29:14.448273,0:05:00.481252,314,157.229598999,154.173675537,155.69774379854778,0.8158327982978975,88.7157745361,86.1942062378,87.48812091122834,0.6348945844583306,48.6856765747,46.5300178528,47.71326204773949,0.48716086884558013,36.4983406067,34.0276489258,35.26958536038758,0.617423853549925
2025-01-02 01:31:45.170320,2025-01-02 01:36:45.654807,2025-01-02 01:34:15.890313,0:05:00.484487,314,156.620452881,153.931182861,155.25835758866242,0.7570328775992885,88.3544769287,86.1787948608,87.23749493641465,0.5847598943876446,48.644908905,46.7085151672,47.61659850588471,0.4550624189120943,36.4738693237,33.9826049805,35.25971874310445,0.5947298972535037
2025-01-02 01:36:46.613493,2025-01-02 01:41:47.097355,2025-01-02 01:39:17.333464,0:05:00.483862,314,156.238586426,153.141387939,154.87355561469744,0.8336126510478065,88.2868423462,85.5462799072,87.0193696234656,0.6674181615281529,48.599067688,46.4189033508,47.51550482488726,0.4946853310202913,36.562828064,33.7856445312,35.176373499975476,0.5820048347753404
2025-01-02 01:41:48.054315,2025-01-02 01:46:48.540537,2025-01-02 01:44:18.778081,0:05:00.486222,314,155.850982666,153.028900146,154.303314937914,0.7084031442684289,87.9168319702,85.4585571289,86.67038823996465,0.5825374907978454,48.2780456543,46.4077568054,47.35449008577229,0.4425658273878356,36.2722053528,33.9969406128,35.14479611633663,0.49961282899097803
2025-01-02 01:46:49.498120,2025-01-02 01:51:49.984765,2025-01-02 01:49:20.225211,0:05:00.486645,314,155.067199707,152.946258545,154.05695683182805,0.5474024362214255,87.3206787109,85.4452438354,86.4842968108516,0.47969009997192635,48.1661186218,46.477180481,47.2827212704207,0.41581919608114715,36.0876083374,33.882598877,35.112805360445854,0.458208936191579
