DATE(YYYYMMDD),START TIME(HHMMSS.Microsec),END TIME(HHMMSS.Microsec),TIME PASSED (sec),PWV TOTAL zenith,PWV TOTAL line-of-sight,zenith angle,standard_deviation_of_residuals,Nscale_troposphere_h2o
20260210,130338.724929,130338.724929,0.0,832.773 um_pwv,1016.63 um_pwv,35.0,2.442 K,1.96270
20260210,130339.685178,130339.685178,0.0,833.731 um_pwv,1017.8 um_pwv,35.0,2.409 K,1.96497
20260210,130340.645506,130340.645506,0.0,835.482 um_pwv,1019.93 um_pwv,35.0,2.382 K,1.96910
20260210,130341.605449,130341.605449,0.0,838.031 um_pwv,1023.05 um_pwv,35.0,2.437 K,1.97513
20260210,130342.566005,130342.566005,0.0,838.27 um_pwv,1023.34 um_pwv,35.0,2.203 K,1.97569
20260210,130343.523975,130343.523975,0.0,837.245 um_pwv,1022.09 um_pwv,35.0,2.136 K,1.97327
20260210,130344.485796,130344.485796,0.0,838.197 um_pwv,1023.25 um_pwv,35.0,2.076 K,1.97552
20260210,130345.448990,130345.448990,0.0,838.394 um_pwv,1023.49 um_pwv,35.0,1.932 K,1.97599
20260210,130346.404376,130346.404376,0.0,837.948 um_pwv,1022.95 um_pwv,35.0,1.942 K,1.97493
20260210,130347.365563,130347.365563,0.0,839.418 um_pwv,1024.74 um_pwv,35.0,1.933 K,1.97841
20260210,130348.326585,130348.326585,0.0,841.317 um_pwv,1027.06 um_pwv,35.0,1.907 K,1.98289
20260210,130349.285496,130349.285496,0.0,841.938 um_pwv,1027.82 um_pwv,35.0,1.912 K,1.98436
20260210,130350.243218,130350.243218,0.0,845.228 um_pwv,1031.83 um_pwv,35.0,2.085 K,1.99214
20260210,130351.206186,130351.206186,0.0,846.984 um_pwv,1033.98 um_pwv,35.0,2.071 K,1.99629
20260210,130352.163721,130352.163721,0.0,847.089 um_pwv,1034.1 um_pwv,35.0,2.139 K,1.99653
20260210,130353.127565,130353.127565,0.0,849.905 um_pwv,1037.54 um_pwv,35.0,2.359 K,2.00319
20260210,130354.087078,130354.087078,0.0,849.893 um_pwv,1037.53 um_pwv,35.0,2.351 K,2.00316
20260210,130355.045223,130355.045223,0.0,849.548 um_pwv,1037.11 um_pwv,35.0,2.336 K,2.00235
20260210,130356.004638,130356.004638,0.0,849.024 um_pwv,1036.47 um_pwv,35.0,2.395 K,2.00111
20260210,130356.964090,130356.964090,0.0,846.576 um_pwv,1033.48 um_pwv,35.0,2.321 K,1.99532
20260210,130357.927559,130357.927559,0.0,840.89 um_pwv,1026.54 um_pwv,35.0,2.199 K,1.98189
20260210,130358.885392,130358.885392,0.0,838.238 um_pwv,1023.3 um_pwv,35.0,2.175 K,1.97562
20260210,130359.843355,130359.843355,0.0,835.223 um_pwv,1019.62 um_pwv,35.0,2.162 K,1.96849
20260210,130400.804776,130400.804776,0.0,829.655 um_pwv,1012.82 um_pwv,35.0,2.133 K,1.95534
20260210,130401.764083,130401.764083,0.0,825.948 um_pwv,1008.3 um_pwv,35.0,2.016 K,1.94658
20260210,130402.728335,130402.728335,0.0,825.733 um_pwv,1008.03 um_pwv,35.0,2.122 K,1.94607
20260210,130403.688381,130403.688381,0.0,824.877 um_pwv,1006.99 um_pwv,35.0,2.13 K,1.94404
20260210,130404.645272,130404.645272,0.0,825.875 um_pwv,1008.21 um_pwv,35.0,2.183 K,1.94640
20260210,130405.605346,130405.605346,0.0,825.264 um_pwv,1007.46 um_pwv,35.0,2.295 K,1.94496
20260210,130406.563276,130406.563276,0.0,826.671 um_pwv,1009.18 um_pwv,35.0,2.313 K,1.94828
20260210,130407.527858,130407.527858,0.0,828.95 um_pwv,1011.96 um_pwv,35.0,2.422 K,1.95367
20260210,130408.486615,130408.486615,0.0,832.979 um_pwv,1016.88 um_pwv,35.0,2.492 K,1.96319
20260210,130409.446731,130409.446731,0.0,834.245 um_pwv,1018.43 um_pwv,35.0,2.49 K,1.96618
20260210,130410.406002,130410.406002,0.0,836.986 um_pwv,1021.77 um_pwv,35.0,2.503 K,1.97266
20260210,130411.365585,130411.365585,0.0,837.73 um_pwv,1022.68 um_pwv,35.0,2.421 K,1.97442
20260210,130412.325939,130412.325939,0.0,836.428 um_pwv,1021.09 um_pwv,35.0,2.251 K,1.97134
20260210,130413.285820,130413.285820,0.0,837.567 um_pwv,1022.48 um_pwv,35.0,2.13 K,1.97403
20260210,130414.242399,130414.242399,0.0,837.836 um_pwv,1022.81 um_pwv,35.0,2.034 K,1.97467
20260210,130415.204609,130415.204609,0.0,837.804 um_pwv,1022.77 um_pwv,35.0,1.966 K,1.97459
20260210,130416.162605,130416.162605,0.0,839.584 um_pwv,1024.94 um_pwv,35.0,1.842 K,1.97880
20260210,130417.124135,130417.124135,0.0,839.605 um_pwv,1024.97 um_pwv,35.0,1.84 K,1.97885
20260210,130418.088302,130418.088302,0.0,840.757 um_pwv,1026.37 um_pwv,35.0,1.908 K,1.98157
20260210,130419.048020,130419.048020,0.0,842.552 um_pwv,1028.57 um_pwv,35.0,1.899 K,1.98581
20260210,130420.004418,130420.004418,0.0,846.032 um_pwv,1032.81 um_pwv,35.0,2.072 K,1.99404
20260210,130420.964443,130420.964443,0.0,848.805 um_pwv,1036.2 um_pwv,35.0,2.137 K,2.00059
20260210,130421.928232,130421.928232,0.0,849.296 um_pwv,1036.8 um_pwv,35.0,2.193 K,2.00175
20260210,130422.886019,130422.886019,0.0,849.748 um_pwv,1037.35 um_pwv,35.0,2.387 K,2.00282
20260210,130423.847239,130423.847239,0.0,850.03 um_pwv,1037.7 um_pwv,35.0,2.28 K,2.00349
20260210,130424.808077,130424.808077,0.0,848.605 um_pwv,1035.96 um_pwv,35.0,2.313 K,2.00012
20260210,130425.764408,130425.764408,0.0,845.311 um_pwv,1031.93 um_pwv,35.0,2.282 K,1.99233
20260210,130426.727447,130426.727447,0.0,844.926 um_pwv,1031.46 um_pwv,35.0,2.257 K,1.99142
